ident,type,name,lat,lon,country,region,city
KADW,large_airport,Joint Base Andrews,38.810799,-76.866997,US,US-MD,Camp Springs
KAFW,large_airport,Fort Worth Alliance Airport,32.987598,-97.318802,US,US-TX,Fort Worth
KAGS,large_airport,Augusta Regional At Bush Field,33.369900,-81.964500,US,US-GA,Augusta
KAMA,large_airport,Rick Husband Amarillo International Airport,35.219398,-101.706001,US,US-TX,Amarillo
KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.636700,-84.428101,US,US-GA,Atlanta
KAUS,large_airport,Austin Bergstrom International Airport,30.194500,-97.669899,US,US-TX,Austin
KAVL,large_airport,Asheville Regional Airport,35.436199,-82.541801,US,US-NC,Asheville
KBDL,large_airport,Bradley International Airport,41.938900,-72.683197,US,US-CT,Hartford
KBFI,large_airport,Boeing Field King County International Airport,47.529999,-122.302002,US,US-WA,Seattle
KBGR,large_airport,Bangor International Airport,44.807400,-68.828102,US,US-ME,Bangor
KBHM,large_airport,Birmingham-Shuttlesworth International Airport,33.562901,-86.753502,US,US-AL,Birmingham
KBIL,large_airport,Billings Logan International Airport,45.807701,-108.542999,US,US-MT,Billings
KBLV,large_airport,Scott AFB/Midamerica Airport,38.545200,-89.835197,US,US-IL,Belleville
KBMI,large_airport,Central Illinois Regional Airport at Bloomington-Normal,40.477100,-88.915901,US,US-IL,Bloomington/Normal
KBNA,large_airport,Nashville International Airport,36.124500,-86.678200,US,US-TN,Nashville
KBOI,large_airport,Boise Air Terminal/Gowen Field,43.564400,-116.223000,US,US-ID,Boise
KBOS,large_airport,General Edward Lawrence Logan International Airport,42.364300,-71.005203,US,US-MA,Boston
KBUF,large_airport,Buffalo Niagara International Airport,42.940498,-78.732201,US,US-NY,Buffalo
KBWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.175400,-76.668297,US,US-MD,Baltimore
KCAE,large_airport,Columbia Metropolitan Airport,33.938801,-81.119499,US,US-SC,Columbia
KCHA,large_airport,Chattanooga Metropolitan Airport (Lovell Field),35.035301,-85.203796,US,US-TN,Chattanooga
