year,month,dest,lat,lon,count
2020,1,KATL,33.636700,-84.428101,16500
2020,2,KATL,33.636700,-84.428101,16185
2019,12,KATL,33.636700,-84.428101,15893
2019,10,KORD,41.978600,-87.904800,14549
2020,3,KATL,33.636700,-84.428101,14325
2019,11,KORD,41.978600,-87.904800,13279
2019,12,KORD,41.978600,-87.904800,12916
2021,3,KATL,33.636700,-84.428101,12887
2019,7,KATL,33.636700,-84.428101,12235
2019,8,KLAX,33.942501,-118.407997,12121
2020,2,KORD,41.978600,-87.904800,11976
2020,1,KORD,41.978600,-87.904800,11815
2019,8,KORD,41.978600,-87.904800,11740
2020,8,KATL,33.636700,-84.428101,11688
2020,12,KATL,33.636700,-84.428101,11547
2020,10,KATL,33.636700,-84.428101,11412
2020,11,KATL,33.636700,-84.428101,11307
2019,9,KORD,41.978600,-87.904800,11259
2019,10,KDFW,32.896801,-97.038002,11224
2021,3,KDEN,39.861698,-104.672997,11161
2020,9,KATL,33.636700,-84.428101,11105
2021,1,KATL,33.636700,-84.428101,11078
2019,10,KLAX,33.942501,-118.407997,10987
2019,10,KLAS,36.080101,-115.152000,10920
2019,11,KDFW,32.896801,-97.038002,10883
2020,3,KORD,41.978600,-87.904800,10870
2019,12,KLAX,33.942501,-118.407997,10774
2019,11,KLAX,33.942501,-118.407997,10713
2019,8,KDFW,32.896801,-97.038002,10485
2019,8,KATL,33.636700,-84.428101,10441
2020,2,KLAX,33.942501,-118.407997,10439
2019,8,KLAS,36.080101,-115.152000,10439
2019,12,KDFW,32.896801,-97.038002,10437
2020,1,KLAX,33.942501,-118.407997,10295
2020,2,KDFW,32.896801,-97.038002,10247
2020,1,KLAS,36.080101,-115.152000,10143
2021,2,KATL,33.636700,-84.428101,10140
2019,9,KLAX,33.942501,-118.407997,10122
2019,9,KDFW,32.896801,-97.038002,10101
2020,1,KDFW,32.896801,-97.038002,10088
2019,6,KATL,33.636700,-84.428101,10036
2020,12,KDEN,39.861698,-104.672997,9942
2019,12,KPHX,33.435302,-112.005905,9912
2020,1,KPHX,33.435302,-112.005905,9873
2020,3,KPHX,33.435302,-112.005905,9857
2020,7,KATL,33.636700,-84.428101,9849
2020,2,KLAS,36.080101,-115.152000,9821
2019,11,KLAS,36.080101,-115.152000,9798
2020,2,KPHX,33.435302,-112.005905,9793
2020,3,KLAX,33.942501,-118.407997,9787
2020,11,KDEN,39.861698,-104.672997,9767
2019,9,KLAS,36.080101,-115.152000,9687
2019,8,KSFO,37.618999,-122.375000,9662
2019,3,KORD,41.978600,-87.904800,9496
2021,1,KDEN,39.861698,-104.672997,9459
2019,4,KORD,41.978600,-87.904800,9457
2019,8,KPHX,33.435302,-112.005905,9406
2019,12,KLAS,36.080101,-115.152000,9392
2019,11,KPHX,33.435302,-112.005905,9357
2019,7,KDFW,32.896801,-97.038002,9280
2019,7,KLAS,36.080101,-115.152000,9276
2020,3,KDFW,32.896801,-97.038002,9117
2019,7,KORD,41.978600,-87.904800,9104
2019,3,KDEN,39.861698,-104.672997,9071
2019,5,KLAS,36.080101,-115.152000,9044
2021,3,KPHX,33.435302,-112.005905,8905
2021,2,KDEN,39.861698,-104.672997,8893
2019,10,KSFO,37.618999,-122.375000,8804
2019,5,KDFW,32.896801,-97.038002,8793
2019,10,KBOS,42.364300,-71.005203,8765
2019,10,KPHX,33.435302,-112.005905,8758
2019,11,KATL,33.636700,-84.428101,8755
2019,6,KDFW,32.896801,-97.038002,8731
2019,2,KORD,41.978600,-87.904800,8696
2019,6,KLAS,36.080101,-115.152000,8660
2019,5,KORD,41.978600,-87.904800,8597
2019,7,KLAX,33.942501,-118.407997,8567
2020,10,KDEN,39.861698,-104.672997,8542
2019,7,KSFO,37.618999,-122.375000,8477
2019,8,KMSP,44.882000,-93.221802,8430
2019,7,KPHX,33.435302,-112.005905,8404
2019,11,KBOS,42.364300,-71.005203,8319
2019,11,KSFO,37.618999,-122.375000,8224
2021,3,KLAX,33.942501,-118.407997,8135
2020,2,KSFO,37.618999,-122.375000,8123
2019,8,KBOS,42.364300,-71.005203,8118
2020,1,KBOS,42.364300,-71.005203,8109
2019,1,KDFW,32.896801,-97.038002,8093
2021,3,KLAS,36.080101,-115.152000,8090
2020,1,KSFO,37.618999,-122.375000,8085
2019,12,KSFO,37.618999,-122.375000,8065
2019,12,KBOS,42.364300,-71.005203,8053
2019,3,KPHX,33.435302,-112.005905,8025
2020,8,KDFW,32.896801,-97.038002,8025
2019,4,KLAS,36.080101,-115.152000,8023
2021,3,KDFW,32.896801,-97.038002,8023
2019,1,KORD,41.978600,-87.904800,8018
2020,3,KLAS,36.080101,-115.152000,7958
2020,2,KBOS,42.364300,-71.005203,7953
2021,3,KMCO,28.429399,-81.308998,7927
2020,8,KORD,41.978600,-87.904800,7839
2019,2,KDEN,39.861698,-104.672997,7825
2019,3,KLAS,36.080101,-115.152000,7803
2019,3,KDFW,32.896801,-97.038002,7788
2019,1,KDEN,39.861698,-104.672997,7766
2019,6,KSFO,37.618999,-122.375000,7757
2020,7,KDFW,32.896801,-97.038002,7664
2019,9,KBOS,42.364300,-71.005203,7660
2020,10,KDFW,32.896801,-97.038002,7635
2019,7,KMSP,44.882000,-93.221802,7598
2019,9,KPHX,33.435302,-112.005905,7562
2019,2,KDFW,32.896801,-97.038002,7551
2019,5,KSFO,37.618999,-122.375000,7549
2020,11,KLAS,36.080101,-115.152000,7519
2021,1,KDFW,32.896801,-97.038002,7444
2020,10,KLAS,36.080101,-115.152000,7428
2019,1,KLAS,36.080101,-115.152000,7409
2019,4,KDFW,32.896801,-97.038002,7388
2019,5,KPHX,33.435302,-112.005905,7346
2019,6,KPHX,33.435302,-112.005905,7314
2020,12,KDFW,32.896801,-97.038002,7291
2020,3,KSFO,37.618999,-122.375000,7258
2020,8,KLAS,36.080101,-115.152000,7240
2019,9,KMSP,44.882000,-93.221802,7228
2020,11,KLAX,33.942501,-118.407997,7225
2020,3,KBOS,42.364300,-71.005203,7158
2020,9,KDFW,32.896801,-97.038002,7133
2020,8,KLAX,33.942501,-118.407997,7113
2020,12,KLAX,33.942501,-118.407997,7104
2021,1,KPHX,33.435302,-112.005905,7104
2020,12,KPHX,33.435302,-112.005905,7093
2019,7,KBOS,42.364300,-71.005203,7092
2019,6,KMSP,44.882000,-93.221802,7087
2019,4,KPHX,33.435302,-112.005905,7068
2020,12,KLAS,36.080101,-115.152000,7044
2019,2,KLAS,36.080101,-115.152000,7011
2019,3,KSFO,37.618999,-122.375000,7007
2020,11,KDFW,32.896801,-97.038002,6969
2021,3,KORD,41.978600,-87.904800,6963
2020,7,KLAS,36.080101,-115.152000,6944
2020,10,KLAX,33.942501,-118.407997,6908
2019,4,KSFO,37.618999,-122.375000,6902
2019,5,KATL,33.636700,-84.428101,6865
2019,9,KSFO,37.618999,-122.375000,6835
2021,1,KLAX,33.942501,-118.407997,6745
2020,11,KPHX,33.435302,-112.005905,6726
2020,7,KLAX,33.942501,-118.407997,6664
2020,9,KORD,41.978600,-87.904800,6622
2020,9,KDEN,39.861698,-104.672997,6540
2020,9,KLAS,36.080101,-115.152000,6507
2020,9,KLAX,33.942501,-118.407997,6504
2020,8,KPHX,33.435302,-112.005905,6494
2020,10,KPHX,33.435302,-112.005905,6482
2020,10,KORD,41.978600,-87.904800,6477
2019,5,KMSP,44.882000,-93.221802,6450
2019,12,KMSP,44.882000,-93.221802,6432
2020,7,KORD,41.978600,-87.904800,6423
2019,10,KMSP,44.882000,-93.221802,6421
2021,1,KLAS,36.080101,-115.152000,6417
2020,8,KDEN,39.861698,-104.672997,6404
2021,2,KPHX,33.435302,-112.005905,6378
2019,1,KLAX,33.942501,-118.407997,6325
2020,11,KORD,41.978600,-87.904800,6283
2020,7,KPHX,33.435302,-112.005905,6274
2019,8,KSAN,32.733601,-117.190002,6247
2020,2,KDEN,39.861698,-104.672997,6243
2019,8,KSEA,47.449001,-122.308998,6242
2019,10,KLGA,40.777199,-73.872597,6227
2021,2,KLAX,33.942501,-118.407997,6219
