year,month,airline,count
2019,1,SWA,35986
2019,1,AAL,36568
2019,1,DAL,14466
2019,1,FFT,2492
2019,1,AAY,359
2019,1,SCX,661
2019,1,SKW,13050
2019,1,NKS,6029
2019,1,JBU,8117
2019,1,UAL,20602
2019,2,SCX,679
2019,2,SKW,12220
2019,2,NKS,5603
2019,2,DAL,14269
2019,2,AAL,34518
2019,2,FFT,2904
2019,2,AAY,430
2019,2,UAL,20384
2019,2,JBU,7995
2019,2,SWA,37145
2019,3,NKS,4597
2019,3,FFT,2447
2019,3,SCX,630
2019,3,JBU,5758
2019,3,AAY,400
2019,3,DAL,13837
2019,3,UAL,22605
2019,3,AAL,33283
2019,3,SKW,13013
2019,3,SWA,41308
2019,4,JBU,5149
2019,4,NKS,4424
2019,4,FFT,2420
2019,4,AAL,30463
2019,4,UAL,21521
2019,4,DAL,16402
2019,4,AAY,369
2019,4,SCX,822
2019,4,SWA,43608
2019,4,SKW,11339
2019,5,AAY,402
2019,5,FFT,3271
2019,5,NKS,5901
2019,5,SKW,10966
2019,5,SWA,45642
2019,5,AAL,33782
2019,5,DAL,27826
2019,5,UAL,21079
2019,5,SCX,858
2019,5,JBU,6719
2019,6,UAL,20606
2019,6,SCX,1220
2019,6,AAY,448
2019,6,NKS,5917
2019,6,DAL,31844
2019,6,AAL,32275
2019,6,FFT,3191
2019,6,JBU,6670
2019,6,SKW,9944
2019,6,SWA,44094
2019,7,AAY,637
2019,7,UAL,24935
2019,7,DAL,37769
2019,7,NKS,7046
2019,7,AAL,33702
2019,7,SWA,53768
2019,7,JBU,8502
2019,7,SKW,11910
2019,7,FFT,3553
2019,7,SCX,1494
2019,8,UAL,29364
2019,8,DAL,42572
2019,8,AAL,42638
2019,8,SCX,1669
2019,8,FFT,4752
2019,8,NKS,8776
2019,8,JBU,10040
2019,8,SWA,63496
2019,8,SKW,16306
2019,8,AAY,714
2019,9,UAL,26199
2019,9,DAL,31351
2019,9,SCX,1223
2019,9,JBU,10567
2019,9,AAY,540
2019,9,SWA,56009
2019,9,FFT,4230
2019,9,AAL,42288
2019,9,NKS,7779
2019,9,SKW,13885
2019,10,AAL,51175
2019,10,DAL,32159
2019,10,SKW,16104
2019,10,AAY,806
2019,10,SWA,65524
2019,10,JBU,12283
2019,10,UAL,36004
2019,10,FFT,5022
2019,10,NKS,8537
2019,10,SCX,1290
2019,11,AAY,795
2019,11,SKW,15502
2019,11,NKS,8800
2019,11,JBU,12373
2019,11,DAL,32286
2019,11,AAL,50345
