year,month,week,airline,count
2019,1,1,UAL,4460
2019,1,1,FFT,564
2019,1,1,AAL,7349
2019,1,1,SCX,202
2019,1,1,NKS,1299
2019,1,1,DAL,2353
2019,1,1,AAY,92
2019,1,1,JBU,1729
2019,1,1,SWA,6658
2019,1,1,SKW,2365
2019,1,2,SCX,163
2019,1,2,AAL,8315
2019,1,2,JBU,1887
2019,1,2,AAY,78
2019,1,2,NKS,1407
2019,1,2,SKW,2979
2019,1,2,UAL,4526
2019,1,2,SWA,7783
2019,1,2,DAL,3368
2019,1,2,FFT,540
2019,1,3,AAL,7457
2019,1,3,FFT,451
2019,1,3,DAL,2895
2019,1,3,JBU,1534
2019,1,3,NKS,1083
2019,1,3,UAL,3656
2019,1,3,SKW,2737
2019,1,3,SCX,93
2019,1,3,SWA,7172
2019,1,3,AAY,60
2019,1,4,SKW,3201
2019,1,4,NKS,1464
2019,1,4,AAL,8674
2019,1,4,JBU,1801
2019,1,4,SWA,9410
2019,1,4,UAL,5061
2019,1,4,AAY,82
2019,1,4,FFT,605
2019,1,4,DAL,3574
2019,1,4,SCX,141
2019,1,5,SWA,4963
2019,1,5,JBU,1166
2019,1,5,FFT,332
2019,1,5,AAY,47
2019,1,5,UAL,2899
2019,1,5,AAL,4773
2019,1,5,NKS,776
2019,1,5,DAL,2276
2019,1,5,SKW,1768
2019,1,5,SCX,62
2019,2,5,NKS,658
2019,2,5,SCX,70
2019,2,5,DAL,1442
2019,2,5,SKW,1239
2019,2,5,SWA,3569
2019,2,5,FFT,258
2019,2,5,AAY,41
2019,2,5,AAL,3402
2019,2,5,UAL,2191
2019,2,5,JBU,776
2019,2,6,NKS,1596
2019,2,6,UAL,5131
2019,2,6,JBU,2157
2019,2,6,DAL,3821
2019,2,6,AAL,9092
2019,2,6,FFT,808
2019,2,6,SCX,165
2019,2,6,SKW,3040
2019,2,6,SWA,9761
2019,2,6,AAY,104
2019,2,7,FFT,898
2019,2,7,UAL,5671
2019,2,7,DAL,4172
2019,2,7,SKW,3237
2019,2,7,AAY,138
2019,2,7,SWA,10548
2019,2,7,SCX,217
2019,2,7,AAL,9526
2019,2,7,JBU,2298
2019,2,7,NKS,1692
2019,2,8,SCX,146
2019,2,8,FFT,586
2019,2,8,NKS,1057
2019,2,8,JBU,1722
2019,2,8,DAL,2876
2019,2,8,UAL,4560
2019,2,8,SKW,2897
2019,2,8,AAY,89
2019,2,8,SWA,8050
2019,2,8,AAL,7895
2019,2,9,JBU,1042
2019,2,9,SWA,5217
2019,2,9,DAL,1958
2019,2,9,NKS,600
2019,2,9,SCX,81
2019,2,9,UAL,2831
2019,2,9,SKW,1807
2019,2,9,AAY,58
2019,2,9,AAL,4603
2019,2,9,FFT,354
2019,3,9,SWA,3943
2019,3,9,NKS,697
2019,3,9,SCX,91
2019,3,9,SKW,1459
2019,3,9,JBU,858
2019,3,9,AAL,3932
2019,3,9,UAL,2481
2019,3,9,FFT,340
2019,3,9,DAL,1736
2019,3,9,AAY,74
2019,3,10,JBU,2024
2019,3,10,AAY,118
2019,3,10,NKS,1453
2019,3,10,SCX,170
2019,3,10,AAL,9241
2019,3,10,DAL,4251
2019,3,10,SWA,10486
2019,3,10,FFT,635
2019,3,10,SKW,3569
2019,3,10,UAL,6212
2019,3,11,JBU,946
2019,3,11,SWA,8654
2019,3,11,AAY,65
2019,3,11,NKS,811
2019,3,11,DAL,2397
2019,3,11,UAL,4414
2019,3,11,FFT,447
2019,3,11,SCX,121
2019,3,11,SKW,2468
2019,3,11,AAL,6523
2019,3,12,FFT,499
2019,3,12,AAL,6849
2019,3,12,DAL,2668
2019,3,12,UAL,4751
2019,3,12,JBU,1007
2019,3,12,NKS,798
2019,3,12,SKW,2720
2019,3,12,SWA,8881
2019,3,12,SCX,126
2019,3,12,AAY,69
2019,3,13,SCX,122
2019,3,13,AAL,6738
2019,3,13,SKW,2797
2019,3,13,FFT,526
2019,3,13,UAL,4747
2019,3,13,JBU,923
2019,3,13,SWA,9344
2019,3,13,NKS,838
2019,3,13,DAL,2785
2019,3,13,AAY,74
2019,4,14,FFT,546
2019,4,14,UAL,5250
2019,4,14,NKS,966
